# Matrix Ti6Al4V (tanpa TiB) - Config 1   @rtoto@rkundato
# Generated  : 2026-03-06 17:10:46
# Seed       : 11184165
# Output mode: matrix_only
# Total atoms: 250,000
# Komposisi  : Ti (matrix)=219,941  Al (matrix)=21,257  V  (matrix)=8,802

250000 atoms
3 atom types

0.0 147.500000 xlo xhi
0.0 127.738747 ylo yhi
0.0 234.300000 zlo zhi

Masses

1 47.867  # Ti (matrix)
2 26.982  # Al (matrix)
3 50.942  # V  (matrix)

Atoms # atomic

387 1 0.000000 17.883425 168.696000
388 1 0.000000 17.883425 173.382000
389 1 0.000000 17.883425 178.068000
390 1 0.000000 17.883425 182.754000
391 1 0.000000 17.883425 187.440000
392 1 0.000000 17.883425 192.126000
393 1 0.000000 17.883425 196.812000
394 1 0.000000 17.883425 201.498000
395 1 0.000000 17.883425 206.184000
396 1 0.000000 17.883425 210.870000
397 1 0.000000 17.883425 215.556000
398 1 0.000000 17.883425 220.242000
399 1 0.000000 17.883425 224.928000
400 2 0.000000 17.883425 229.614000
401 1 0.000000 20.438200 0.000000
402 2 0.000000 20.438200 4.686000
403 1 0.000000 20.438200 9.372000
404 1 0.000000 20.438200 14.058000
405 1 0.000000 20.438200 18.744000
406 1 0.000000 20.438200 23.430000
407 1 0.000000 20.438200 28.116000
408 2 0.000000 20.438200 32.802000
409 1 0.000000 20.438200 37.488000
410 1 0.000000 20.438200 42.174000
411 1 0.000000 20.438200 46.860000
412 1 0.000000 20.438200 51.546000
413 1 0.000000 20.438200 56.232000
414 1 0.000000 20.438200 60.918000
415 2 0.000000 20.438200 65.604000
416 1 0.000000 20.438200 70.290000
417 1 0.000000 20.438200 74.976000
418 1 0.000000 20.438200 79.662000
419 1 0.000000 20.438200 84.348000
420 1 0.000000 20.438200 89.034000
421 2 0.000000 20.438200 93.720000
422 1 0.000000 20.438200 98.406000
423 3 0.000000 20.438200 103.092000
424 1 0.000000 20.438200 107.778000
425 1 0.000000 20.438200 112.464000
426 2 0.000000 20.438200 117.150000
427 1 0.000000 20.438200 121.836000
428 1 0.000000 20.438200 126.522000
429 1 0.000000 20.438200 131.208000
430 2 0.000000 20.438200 135.894000
431 1 0.000000 20.438200 140.580000
432 2 0.000000 20.438200 145.266000
433 3 0.000000 20.438200 149.952000
434 1 0.000000 20.438200 154.638000
435 1 0.000000 20.438200 159.324000
436 1 0.000000 20.438200 164.010000
437 1 0.000000 20.438200 168.696000
438 1 0.000000 20.438200 173.382000
439 1 0.000000 20.438200 178.068000
440 1 0.000000 20.438200 182.754000
441 1 0.000000 20.438200 187.440000
442 1 0.000000 20.438200 192.126000
443 1 0.000000 20.438200 196.812000
444 2 0.000000 20.438200 201.498000
445 1 0.000000 20.438200 206.184000
446 1 0.000000 20.438200 210.870000
447 1 0.000000 20.438200 215.556000
448 1 0.000000 20.438200 220.242000
449 1 0.000000 20.438200 224.928000
450 1 0.000000 20.438200 229.614000
451 1 0.000000 22.992974 0.000000
452 1 0.000000 22.992974 4.686000
453 1 0.000000 22.992974 9.372000
454 1 0.000000 22.992974 14.058000
455 1 0.000000 22.992974 18.744000
456 1 0.000000 22.992974 23.430000
457 1 0.000000 22.992974 28.116000
458 1 0.000000 22.992974 32.802000
459 1 0.000000 22.992974 37.488000
460 1 0.000000 22.992974 42.174000
461 1 0.000000 22.992974 46.860000
462 1 0.000000 22.992974 51.546000
463 1 0.000000 22.992974 56.232000
464 1 0.000000 22.992974 60.918000
465 1 0.000000 22.992974 65.604000
466 1 0.000000 22.992974 70.290000
467 1 0.000000 22.992974 74.976000
468 1 0.000000 22.992974 79.662000
469 1 0.000000 22.992974 84.348000
470 1 0.000000 22.992974 89.034000
471 1 0.000000 22.992974 93.720000
472 2 0.000000 22.992974 98.406000
473 1 0.000000 22.992974 103.092000
474 1 0.000000 22.992974 107.778000
475 1 0.000000 22.992974 112.464000
476 3 0.000000 22.992974 117.150000
477 1 0.000000 22.992974 121.836000
478 1 0.000000 22.992974 126.522000
479 1 0.000000 22.992974 131.208000
480 1 0.000000 22.992974 135.894000
481 1 0.000000 22.992974 140.580000
482 2 0.000000 22.992974 145.266000
483 1 0.000000 22.992974 149.952000
484 1 0.000000 22.992974 154.638000
485 1 0.000000 22.992974 159.324000
486 3 0.000000 22.992974 164.010000
487 2 0.000000 22.992974 168.696000
488 1 0.000000 22.992974 173.382000
489 1 0.000000 22.992974 178.068000
490 1 0.000000 22.992974 182.754000
491 3 0.000000 22.992974 187.440000
492 2 0.000000 22.992974 192.126000
493 1 0.000000 22.992974 196.812000
494 1 0.000000 22.992974 201.498000
495 1 0.000000 22.992974 206.184000
496 1 0.000000 22.992974 210.870000
497 1 0.000000 22.992974 215.556000
498 1 0.000000 22.992974 220.242000
499 1 0.000000 22.992974 224.928000
500 1 0.000000 22.992974 229.614000
501 1 0.000000 25.547749 0.000000
502 1 0.000000 25.547749 4.686000
503 1 0.000000 25.547749 9.372000
504 1 0.000000 25.547749 14.058000
505 1 0.000000 25.547749 18.744000
506 1 0.000000 25.547749 23.430000
507 1 0.000000 25.547749 28.116000
508 1 0.000000 25.547749 32.802000
509 1 0.000000 25.547749 37.488000
510 1 0.000000 25.547749 42.174000
511 1 0.000000 25.547749 46.860000
512 1 0.000000 25.547749 51.546000
513 3 0.000000 25.547749 56.232000
514 1 0.000000 25.547749 60.918000
515 1 0.000000 25.547749 65.604000
516 1 0.000000 25.547749 70.290000
517 1 0.000000 25.547749 74.976000
518 1 0.000000 25.547749 79.662000
519 1 0.000000 25.547749 84.348000
520 1 0.000000 25.547749 89.034000
521 1 0.000000 25.547749 93.720000
522 1 0.000000 25.547749 98.406000
523 2 0.000000 25.547749 103.092000
524 1 0.000000 25.547749 107.778000
525 1 0.000000 25.547749 112.464000
526 1 0.000000 25.547749 117.150000
527 1 0.000000 25.547749 121.836000
528 1 0.000000 25.547749 126.522000
529 1 0.000000 25.547749 131.208000
530 1 0.000000 25.547749 135.894000
531 2 0.000000 25.547749 140.580000
532 2 0.000000 25.547749 145.266000
533 1 0.000000 25.547749 149.952000
534 1 0.000000 25.547749 154.638000
535 1 0.000000 25.547749 159.324000
536 1 0.000000 25.547749 164.010000
537 3 0.000000 25.547749 168.696000
538 1 0.000000 25.547749 173.382000
539 1 0.000000 25.547749 178.068000
540 2 0.000000 25.547749 182.754000
541 1 0.000000 25.547749 187.440000
542 2 0.000000 25.547749 192.126000
543 1 0.000000 25.547749 196.812000
544 1 0.000000 25.547749 201.498000
545 1 0.000000 25.547749 206.184000
546 1 0.000000 25.547749 210.870000
547 1 0.000000 25.547749 215.556000
548 1 0.000000 25.547749 220.242000
549 1 0.000000 25.547749 224.928000
550 1 0.000000 25.547749 229.614000
551 1 0.000000 28.102524 0.000000
552 2 0.000000 28.102524 4.686000
553 1 0.000000 28.102524 9.372000
554 1 0.000000 28.102524 14.058000
555 2 0.000000 28.102524 18.744000
556 1 0.000000 28.102524 23.430000
557 1 0.000000 28.102524 28.116000
558 2 0.000000 28.102524 32.802000
559 1 0.000000 28.102524 37.488000
560 1 0.000000 28.102524 42.174000
561 1 0.000000 28.102524 46.860000
562 1 0.000000 28.102524 51.546000
563 1 0.000000 28.102524 56.232000
564 1 0.000000 28.102524 60.918000
565 1 0.000000 28.102524 65.604000
566 1 0.000000 28.102524 70.290000
567 1 0.000000 28.102524 74.976000
568 1 0.000000 28.102524 79.662000
569 1 0.000000 28.102524 84.348000
570 1 0.000000 28.102524 89.034000
571 1 0.000000 28.102524 93.720000
572 1 0.000000 28.102524 98.406000
573 1 0.000000 28.102524 103.092000
574 1 0.000000 28.102524 107.778000
575 1 0.000000 28.102524 112.464000
576 1 0.000000 28.102524 117.150000
577 1 0.000000 28.102524 121.836000
578 1 0.000000 28.102524 126.522000
579 1 0.000000 28.102524 131.208000
580 1 0.000000 28.102524 135.894000
581 1 0.000000 28.102524 140.580000
582 1 0.000000 28.102524 145.266000
583 2 0.000000 28.102524 149.952000
584 1 0.000000 28.102524 154.638000
585 1 0.000000 28.102524 159.324000
586 1 0.000000 28.102524 164.010000
587 1 0.000000 28.102524 168.696000
588 1 0.000000 28.102524 173.382000
589 1 0.000000 28.102524 178.068000
590 1 0.000000 28.102524 182.754000
591 1 0.000000 28.102524 187.440000
592 1 0.000000 28.102524 192.126000
593 1 0.000000 28.102524 196.812000
594 1 0.000000 28.102524 201.498000
595 1 0.000000 28.102524 206.184000
596 1 0.000000 28.102524 210.870000
597 1 0.000000 28.102524 215.556000
598 1 0.000000 28.102524 220.242000
599 1 0.000000 28.102524 224.928000
600 1 0.000000 28.102524 229.614000
601 1 0.000000 30.657299 0.000000
602 1 0.000000 30.657299 4.686000
603 1 0.000000 30.657299 9.372000
604 1 0.000000 30.657299 14.058000
605 1 0.000000 30.657299 18.744000
